rank,title,rating,votes,genres,duration_min,content_rating,year,country,actors,url
128,The Wolf of Wall Street,8.2,1686053,"['Biography', 'Comedy', 'Crime']",180,R,,,[],https://www.imdb.com/title/tt0993846/
129,Hamilton,8.3,127455,"['Biography', 'Drama', 'History']",160,PG-13,,,[],https://www.imdb.com/title/tt8503618/
130,Taxi Driver,8.2,978359,"['Crime', 'Drama']",114,R,,,[],https://www.imdb.com/title/tt0075314/
131,Green Book,8.2,635095,"['Biography', 'Comedy', 'Drama']",130,PG-13,,,[],https://www.imdb.com/title/tt6966692/
132,Batman Begins,8.2,1645817,"['Action', 'Crime', 'Drama']",140,PG-13,,,[],https://www.imdb.com/title/tt0372784/
133,Per qualche dollaro in più,8.2,288392,"['Drama', 'Western']",132,R,,,[],https://www.imdb.com/title/tt0059578/
134,The Truman Show,8.2,1280010,"['Comedy', 'Drama']",103,PG,,,[],https://www.imdb.com/title/tt0120382/
135,Judgment at Nuremberg,8.3,91543,"['Drama', 'War']",179,Approved,,,[],https://www.imdb.com/title/tt0055031/
136,Some Like It Hot,8.2,294979,"['Comedy', 'Music', 'Romance']",121,Approved,,,[],https://www.imdb.com/title/tt0053291/
137,Shutter Island,8.2,1548808,"['Drama', 'Mystery', 'Thriller']",138,R,,,[],https://www.imdb.com/title/tt1130884/
138,The Kid,8.2,141146,"['Comedy', 'Drama', 'Family']",68,Passed,,,[],https://www.imdb.com/title/tt0012349/
139,The Father,8.2,212929,"['Drama', 'Mystery']",97,PG-13,,,[],https://www.imdb.com/title/tt10272386/
140,All About Eve,8.2,144679,['Drama'],138,Approved,,,[],https://www.imdb.com/title/tt0042192/
141,Jurassic Park,8.2,1118963,"['Action', 'Adventure', 'Sci-Fi']",127,PG-13,,,[],https://www.imdb.com/title/tt0107290/
142,There Will Be Blood,8.2,670748,['Drama'],158,R,,,[],https://www.imdb.com/title/tt0469494/
143,The Sixth Sense,8.2,1099031,"['Drama', 'Mystery', 'Thriller']",107,PG-13,,,[],https://www.imdb.com/title/tt0167404/
144,Casino,8.2,592159,"['Crime', 'Drama']",178,R,,,[],https://www.imdb.com/title/tt0112641/
145,Ran,8.2,143783,"['Action', 'Drama', 'War']",160,R,,,[],https://www.imdb.com/title/tt0089881/
146,Top Gun: Maverick,8.2,774962,"['Action', 'Drama']",130,PG-13,,,[],https://www.imdb.com/title/tt1745960/
147,No Country for Old Men,8.2,1121490,"['Crime', 'Drama', 'Thriller']",122,R,,,[],https://www.imdb.com/title/tt0477348/
148,The Thing,8.2,498333,"['Horror', 'Mystery', 'Sci-Fi']",109,R,,,[],https://www.imdb.com/title/tt0084787/
149,El laberinto del fauno,8.2,724685,"['Drama', 'Fantasy', 'War']",118,R,,,[],https://www.imdb.com/title/tt0457430/
150,Unforgiven,8.2,454277,"['Drama', 'Western']",130,R,,,[],https://www.imdb.com/title/tt0105695/
151,A Beautiful Mind,8.2,1021688,"['Biography', 'Drama', 'Mystery']",135,PG-13,,,[],https://www.imdb.com/title/tt0268978/
152,Kill Bill: Vol. 1,8.2,1250338,"['Action', 'Crime', 'Thriller']",111,R,,,[],https://www.imdb.com/title/tt0266697/
153,The Treasure of the Sierra Madre,8.2,137337,"['Adventure', 'Drama', 'Western']",126,Approved,,,[],https://www.imdb.com/title/tt0040897/
154,Prisoners,8.2,871083,"['Crime', 'Drama', 'Mystery']",153,R,,,[],https://www.imdb.com/title/tt1392214/
155,Yôjinbô,8.2,137586,"['Action', 'Drama', 'Thriller']",110,Not Rated,,,[],https://www.imdb.com/title/tt0055630/
